순위,카테고리,채널명,구독자수,조회수,비디오수
926,미분류,미션 파서블,820000,175940000,229
925,영화/만화/애니,무비콘 애니,820000,316130000,939
928,음악/댄스/가수,• m i n a m o c h i •,820000,365620000,102
927,음식/요리/레시피,뽐뽐뽐,820000,88010000,330
929,뉴스/정치/사회,이봉규TV,820000,554060000,8176
930,키즈/어린이,로봇알포 ARPO The Robot,820000,315390000,623
931,뉴스/정치/사회,[공식] 새날,820000,695560000,8814
934,미분류,조나단,820000,151820000,210
933,주식/경제/부동산,전인구경제연구소,820000,122170000,1126
932,음악/댄스/가수,VICTON 빅톤,820000,241660000,983
935,게임,테드TV,810000,853350000,2834
937,키즈/어린이,ToyCheff,810000,406330000,467
936,게임,김성회의 G식백과,810000,240210000,435
938,키즈/어린이,PinkFongFongToys [핑크퐁퐁토이즈],810000,200000,1
940,미분류,놀면서 배우는 심리학,810000,118880000,459
939,미분류,청정구역,810000,410680000,1038
943,미분류,SMP FLOOR,810000,131810000,288
942,미분류,천재견 사월이sawol,810000,221980000,207
941,미분류,임한올 Hanol Rim,810000,121450000,169
945,TV/방송,트래블튜브,810000,726460000,1598
944,게임,수탉,810000,497530000,1706
946,미분류,THE NEW SIX (TNX),810000,86280000,468
949,미분류,깨방정,810000,362680000,497
948,음악/댄스/가수,Jenny Yun,810000,129860000,582
947,스포츠/운동,JK 아트사커 온라인,810000,663420000,730
951,미분류,카카오프렌즈 KAKAO FRIENDS,800000,466380000,558
953,미분류,ZICO,800000,427530000,138
952,키즈/어린이,ZombieDumb,800000,429030000,810
950,애완/반려동물,속삭이는몽자,800000,237070000,565
954,키즈/어린이,Troom Troom Kr,800000,552160000,2589
957,미분류,순자엄마,800000,403340000,645
956,TV/방송,KBS역사저널 그날,800000,344490000,3399
955,뉴스/정치/사회,가로세로연구소,800000,22660000,371
959,영화/만화/애니,Sechi,800000,295560000,385
958,패션/미용,areumsongee아름송이,800000,79170000,269
961,미분류,잠골버스,800000,224040000,495
960,키즈/어린이,Ace Art 에이스 아트,800000,413400000,898
963,미분류,Jin & Juice,800000,191040000,302
962,미분류,TOP MEDIA,800000,232740000,553
964,음악/댄스/가수,DKDKTV,790000,208450000,1412
968,미분류,김지윤의 지식Play,790000,70440000,212
967,미분류,DAWN,790000,77450000,49
969,미분류,당신이 몰랐던 이야기,790000,220890000,532
966,TV/방송,찬우살이,790000,33540000,196
965,음식/요리/레시피,키미 Kimi,790000,57940000,76
972,미분류,어썸코리아 Awesome Korea,790000,634880000,1250
971,미분류,옆집언니 최실장 stylist unnie,790000,148030000,681
970,패션/미용,Heejoo 희주,790000,22990000,127
975,게임,두치와뿌꾸,790000,1633390000,14877
974,게임,마재TV,790000,568130000,3587
973,게임,연다,790000,642580000,2400
976,키즈/어린이,애니한TV AnnieHanTV,790000,878770000,1897
977,TV/방송,핫챌린지,790000,54060000,51
979,BJ/인물/연예인,쿠쿠크루 - Cuckoo Crew,780000,549270000,884
978,미분류,sissel,780000,32030000,257
981,미분류,밉지않은 관종언니,780000,239510000,331
980,뉴스/정치/사회,국방TV,780000,831630000,13044
983,음악/댄스/가수,CL,780000,66130000,5
982,국내/해외/여행,원지의하루,780000,145580000,351
984,미분류,핫소스,780000,377950000,304
986,음악/댄스/가수,BRANDNEW MUSIC,780000,432470000,1488
985,애완/반려동물,EBS 컬렉션 - 사이언스,780000,306130000,1813
987,미분류,휴먼스토리,780000,274740000,293
988,미분류,123 GO! Korean,770000,312040000,557
989,미분류,하알라,770000,272690000,368
992,TV/방송,MBC 미스터리 : 심야괴담회 X 서프라이즈,770000,434970000,3148
991,TV/방송,제이제이,770000,270830000,731
990,애완/반려동물,솜이네 곰이탱이여우,770000,531250000,1803
994,TV/방송,tweety 트위티,770000,151990000,275
993,영화/만화/애니,UTZI웃지,770000,6500000,13
995,뉴스/정치/사회,뉴스데일리베스트,770000,247370000,2944
997,미분류,성창경TV,770000,1196450000,18314
996,미분류,빅페이스 BIGFACE,770000,183120000,142
998,키즈/어린이,꾸삐KUPI,770000,570580000,986
1000,키즈/어린이,서은이야기 [V-log],770000,298990000,628
999,TV/방송,LDF TV by lottedutyfree,770000,656800000,1517
