순위,카테고리,채널명,구독자수,조회수,비디오수
239,미분류,Sony Music (Japan),2410000,3068120000,3944
238,IT/기술/컴퓨터,ITSub잇섭,2410000,983090000,1103
240,키즈/어린이,ToyFamily,2370000,340000,36
242,키즈/어린이,ToytubeTV 토이튜브TV,2360000,292920000,133
241,BJ/인물/연예인,엔조이커플enjoycouple,2360000,1092040000,799
245,취미/라이프,피식대학Psick Univ,2350000,1114060000,1077
244,음악/댄스/가수,mirrorHD,2350000,1364810000,208
243,게임,감스트GAMST,2350000,1898240000,4757
247,TV/방송,보길 bogil,2340000,986620000,1141
246,게임,도티 TV,2340000,2802730000,3454
250,음악/댄스/가수,SUPER JUNIOR,2330000,207060000,318
249,주식/경제/부동산,삼프로TV_경제의신과함께,2330000,1068940000,13055
248,키즈/어린이,캐릭온 TV,2330000,2662060000,1113
255,키즈/어린이,Lime Doodles,2320000,880870000,1509
254,패션/미용,free지아,2320000,32760000,34
257,음식/요리/레시피,이 남자의 cook,2320000,530000000,805
253,TV/방송,아는형님 Knowingbros,2320000,1609490000,4242
252,음악/댄스/가수,A-YEON,2320000,313820000,69
251,교육/강의,디바제시카DeevaJessica,2320000,1141890000,3543
258,뉴스/정치/사회,채널A 뉴스,2310000,3682500000,90826
256,BJ/인물/연예인,VIVA DANCE STUDIO,2310000,486860000,3119
261,키즈/어린이,요올리Yoli,2300000,1058040000,821
260,키즈/어린이,Zorip - Nursery Rhymes,2300000,758470000,25
259,음악/댄스/가수,여자친구 GFRIEND OFFICIAL,2300000,676240000,515
264,미분류,Jung Kook - Topic,2290000,211570000,43
263,음악/댄스/가수,채널 NCT MUSIC,2290000,213530000,29
262,영화/만화/애니,고몽,2290000,1286350000,762
266,음악/댄스/가수,official IZ*ONE,2280000,821970000,270
265,음악/댄스/가수,창현거리노래방 streetkaraoke,2280000,363110000,1297
268,음악/댄스/가수,United CUBE (CUBE Entertainment Official YouTube Channel),2270000,762800000,1614
267,음식/요리/레시피,JerryPop,2270000,860220000,429
272,미분류,꿀주부 Honeyjubu,2260000,224310000,170
271,키즈/어린이,토이영어TV - ToyEnglishTV,2260000,1452320000,28
270,키즈/어린이,또봇 Tobot,2260000,2943290000,2313
269,패션/미용,RISABAE,2260000,318940000,488
275,음악/댄스/가수,GOT7,2250000,95680000,27
274,음악/댄스/가수,MLD ENTERTAINMENT,2250000,897960000,837
273,게임,침착맨,2250000,1851740000,6631
277,음악/댄스/가수,헨리 HENRY LAU,2240000,253560000,365
276,키즈/어린이,[wonderkids TV] 원더키즈 TV,2240000,1053760000,1084
278,미분류,XG,2230000,603820000,304
